HUGO_GeneName	EntrezID	GTEX-ZF2S-2026-SM-5E461	GTEX-13FTY-2226-SM-5J1ND	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZVT2-1826-SM-5NQ8W	GTEX-RU72-0626-SM-46MUI	GTEX-131YS-0626-SM-5EGKL	GTEX-X15G-1626-SM-3NMB3	GTEX-1313W-0826-SM-5EQ4T	GTEX-YFC4-1426-SM-5IFJG	GTEX-131XW-0726-SM-5EGK3	GTEX-S341-1526-SM-4AD6K	GTEX-ZF3C-2326-SM-5S2MZ	GTEX-WYBS-0926-SM-3NM94	GTEX-WRHU-0326-SM-3MJFY	GTEX-ZC5H-2626-SM-5J2MG	GTEX-13QIC-2326-SM-5LU5N	GTEX-ZLV1-1426-SM-4WWES	GTEX-XUJ4-1926-SM-4BOOV	GTEX-13PL6-2926-SM-5L3I2	GTEX-VJWN-0726-SM-3GIJ8	GTEX-Q2AG-0326-SM-48U1O	GTEX-13O3O-0826-SM-5K7WE	GTEX-XMD2-0926-SM-4WWEF	GTEX-1269C-2426-SM-5FQSN	GTEX-Y3IK-2326-SM-4WWDT	GTEX-13N11-1726-SM-5J1OJ	GTEX-146FH-0826-SM-5SI8T	GTEX-RU1J-0626-SM-4WAWY	GTEX-XUZC-1626-SM-4BRVP	GTEX-WXYG-2226-SM-4E3IM	GTEX-R53T-1526-SM-48FEK	GTEX-Y5V5-2126-SM-4WWFO	GTEX-Y8LW-1626-SM-5IFHX	GTEX-ZVT4-1026-SM-57WC4	GTEX-13W3W-1226-SM-5LU4H	GTEX-12ZZX-1126-SM-5EGKB	GTEX-ZXES-0826-SM-5E43C	GTEX-ZVZQ-0826-SM-51MRF	GTEX-QDT8-0626-SM-48TYW	GTEX-1399U-1826-SM-5PNZ1	GTEX-TML8-1226-SM-32QON	GTEX-S4UY-0726-SM-4AD6X	GTEX-ZF29-1926-SM-5S2P1	GTEX-13113-1726-SM-5GCOO	GTEX-U3ZN-1926-SM-4DXSG	GTEX-133LE-1726-SM-5K7VQ	GTEX-11EM3-1326-SM-5N9C6	GTEX-14AS3-1626-SM-5S2OY	GTEX-Y114-2026-SM-4TT7L	GTEX-1211K-1926-SM-5EQLB	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZYWO-2326-SM-5GZY4	GTEX-11P81-1926-SM-5BC53	GTEX-YJ8O-2226-SM-5IFHW	GTEX-11ILO-2226-SM-5A5L1	GTEX-YB5K-1626-SM-5IFIN	GTEX-T6MO-0326-SM-32QOK	GTEX-UJHI-1426-SM-3DB9C	GTEX-ZAJG-0626-SM-5HL8X	GTEX-13D11-1026-SM-5IJFB	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-T5JW-2026-SM-4DM63	GTEX-X4EP-2926-SM-3P5YQ	GTEX-XUW1-2326-SM-4BOO5	GTEX-11I78-2226-SM-5PNYA	GTEX-1117F-2826-SM-5GZXL	GTEX-XYKS-1326-SM-4BRUN	GTEX-QVJO-1826-SM-447C9	GTEX-ZQG8-0726-SM-5P9H9	GTEX-13FTX-1126-SM-5N9EN	GTEX-12WSB-0626-SM-59HJO	GTEX-ZPIC-1126-SM-5BC7F	GTEX-132AR-0826-SM-5EGK6	GTEX-SE5C-2126-SM-4BRUJ	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-13CF3-2126-SM-5IFJP	GTEX-S32W-2026-SM-4AD6E
HES1	3280	12.9823	13.3120	13.6266	10.9432	13.2073	13.0265	11.6931	12.3449	12.8958	14.0423	11.0768	12.6382	13.1236	12.4006	13.4045	12.5662	11.8777	10.5925	12.9176	12.5132	12.5999	12.9436	12.9821	13.4155	12.5321	12.3726	11.8806	11.4569	10.1293	11.8486	11.9961	12.6695	10.7202	11.6027	10.5765	12.0119	11.2609	13.0115	12.5493	10.7074	11.8218	9.6777	10.4788	12.1319	11.3718	11.6330	10.4929	12.6309	10.5868	10.2773	11.4294	11.0314	12.0964	11.2992	12.3652	9.4367	10.4242	9.9069	12.2738	11.5953	10.4440	10.3977	13.4083	11.0189	10.0647	10.1984	10.3912	11.5152	10.5641	11.2992	9.8041	10.4888	9.7313	9.7398	10.9908	11.1824	12.3404	11.9359	11.1818
GEN1	348654	8.6257	8.0112	9.1370	6.9887	7.0112	8.0279	7.9009	7.5236	8.8138	8.5236	8.5430	7.6439	9.2046	8.8611	7.5236	8.5850	7.7814	7.4346	8.0498	7.9944	8.4676	8.0498	8.0334	8.5812	8.4717	8.4757	7.9600	8.3576	8.9099	8.7682	7.0980	8.2992	8.3531	7.4179	7.7004	7.2384	8.9307	8.1997	8.0553	7.7482	9.5962	8.4429	8.3038	8.9337	7.6073	8.3174	8.7682	6.7279	8.7415	8.3038	9.0251	7.0112	8.5774	8.4635	8.5157	7.8329	7.8265	7.5999	8.9159	8.2621	6.5999	8.9542	7.2854	8.3880	7.3750	7.4594	7.9248	7.5925	8.4553	7.7279	7.6147	8.4136	7.8392	8.0715	7.9542	7.9715	7.7814	7.7074	8.4635
CENPS	378708	8.0071	7.4857	7.5124	7.8627	6.4898	7.0459	7.5456	6.5981	7.8672	7.7158	7.0690	6.7553	7.6008	7.4854	7.7647	7.2389	7.2028	6.9871	7.1898	6.7514	6.3604	7.4043	7.0532	7.0850	7.1835	7.6214	7.1371	7.3315	7.2987	7.4102	6.7134	7.1182	7.0002	6.2713	6.4391	6.6836	7.4255	7.1205	6.5080	7.6136	7.4003	6.9577	6.4935	7.0113	6.9612	6.9144	6.5547	7.4728	7.2894	6.8269	6.8248	6.6690	7.1732	6.9294	6.5032	6.5092	6.9700	6.3418	6.5538	7.4956	6.9932	7.4614	6.6641	6.6616	6.7960	6.2244	6.9757	5.8197	7.1756	7.7103	6.8199	7.1541	7.2398	6.9642	7.2224	6.2608	6.6063	7.1215	6.7120
MRE11	4361	10.5401	10.5034	11.3587	10.0028	10.4419	10.0453	10.2276	9.4737	11.0341	11.4223	10.5746	10.0250	10.8771	11.1793	10.9307	10.4533	10.1530	9.9773	10.5411	10.3565	10.4502	10.0104	10.1124	10.2935	10.5078	10.7825	9.9454	10.2180	9.6511	10.5943	9.3509	10.4177	10.6357	9.5850	9.8392	10.9374	10.6354	10.2167	10.0122	10.3934	11.2900	9.8138	10.2687	9.9671	10.1074	10.1774	10.0435	9.5527	10.4290	9.9686	10.8265	9.5236	10.7347	9.9337	10.5167	9.6384	10.4584	9.6147	9.7108	10.0126	9.7125	9.5488	10.7406	10.0417	9.6819	9.8313	9.5430	9.3619	9.5718	10.1071	10.4696	10.3271	9.2877	9.7895	10.0332	9.6777	10.3129	9.5958	10.4357
EID3	493861	6.7279	6.0000	7.0334	6.1497	6.3399	5.9773	6.2095	6.2668	6.5699	6.6865	6.3038	5.5236	7.0980	7.1799	6.4429	6.0000	5.8074	6.4094	6.7549	6.9307	6.3399	7.0980	6.6147	6.5078	6.2095	6.0875	6.4263	5.9069	4.5850	6.5850	5.5236	5.9773	6.8826	7.3663	5.7814	5.7549	5.4919	6.0444	6.1293	7.2288	5.9542	5.8329	5.6147	6.3750	5.6439	5.7814	5.6724	5.6724	7.0000	6.3219	5.8329	6.7004	5.9773	5.8074	5.9542	5.0875	5.5236	5.4919	7.3219	7.0875	6.1699	5.8826	5.8580	5.5236	6.4594	5.9773	5.8329	5.7279	6.4263	5.9542	6.1085	6.1497	5.5546	5.1699	6.4757	5.9773	5.9542	5.7004	6.1699
UIMC1	51720	10.3320	10.4594	10.5078	9.8250	10.1972	10.1344	10.1636	10.1111	10.3966	10.6284	10.1485	10.1434	10.5971	10.8765	10.7781	9.9687	10.0265	9.5565	10.7134	10.5353	10.0224	10.9069	10.9322	10.3498	10.0782	10.0620	10.3106	10.2935	9.5118	10.5206	9.6724	10.2784	10.0526	10.1472	9.8281	9.9218	9.9366	9.9527	9.9614	10.4398	10.3015	9.6900	9.6421	10.2143	9.7056	10.2180	9.8842	10.0348	10.2889	10.0375	10.2866	9.9469	9.9159	10.2216	10.5236	9.6366	10.1599	9.4200	10.4252	10.5479	9.9233	9.1034	11.1768	9.8154	10.0251	10.4357	9.8796	9.7347	9.9873	10.1674	10.4778	9.7731	9.9054	9.4594	9.9366	9.9498	10.3421	10.2300	10.2479
NSMCE4A	54780	11.2350	10.7970	11.2367	10.9936	10.5589	10.9633	10.8587	10.0542	10.6444	11.5502	10.6233	10.2400	11.2253	11.3415	11.0906	10.3194	10.6106	9.7913	10.6011	10.5357	10.3674	10.5806	10.3599	10.6166	10.7954	10.8839	10.2584	10.6228	10.6185	10.8809	10.4141	10.7167	10.8870	10.3689	10.3277	10.7458	11.4126	10.5164	10.1361	11.1817	10.8548	10.4066	10.5777	10.2605	10.4073	10.7621	10.7132	11.0103	10.8922	10.2970	11.1204	10.4305	10.7176	10.6996	10.7074	10.4349	10.8461	9.9006	10.4096	10.9263	10.3419	9.8030	10.9758	9.8893	10.6073	10.2735	9.8538	9.4939	10.6305	10.7574	10.9138	10.5586	9.9262	10.0757	10.4460	10.2205	10.6272	10.0141	10.5489
SLX1A	548593	9.6363	10.0160	9.2922	9.3085	8.6443	9.7702	9.9552	9.0322	10.0253	10.3937	9.7861	8.8629	9.7910	9.8124	10.0000	8.5819	9.8635	9.6987	9.3304	8.3412	9.9496	9.2511	9.3293	8.8983	9.5308	10.1473	9.1847	9.6666	10.9410	9.8098	8.8619	9.1249	9.5628	9.6456	9.5129	8.0603	9.8700	9.6597	8.7205	9.9650	8.0014	9.2995	8.4683	10.0396	9.0694	9.4820	9.3704	9.8059	9.9912	9.8123	9.7321	9.3640	8.2599	9.2288	9.3884	9.7422	8.8296	8.7794	9.8995	10.6450	9.8270	9.6611	9.8176	9.3548	10.2938	9.9187	9.4571	9.6744	9.0811	10.3412	10.1907	9.3518	9.4720	9.3772	9.5988	8.9903	10.4348	9.6430	10.3751
FANCL	55120	10.0033	9.4495	10.3897	8.5262	9.2658	9.2417	9.7212	8.1969	9.6752	9.9198	8.9871	8.7830	9.9171	9.8688	10.1504	9.3241	8.6869	8.3267	9.4579	8.8877	9.0054	8.5665	8.9162	9.5031	9.4616	9.3390	8.9880	9.4298	9.1936	9.1448	8.8464	9.3328	8.8409	7.8690	8.5105	9.1629	9.2075	8.7751	9.0477	8.7346	10.1351	8.7394	8.6254	8.7021	9.0971	8.8769	9.3705	9.4114	9.0192	8.2613	9.7096	8.5625	9.2235	8.5803	9.6013	7.8449	9.2192	8.2582	8.8175	8.7422	8.8342	8.7779	9.7717	8.3625	8.6518	8.6008	8.8179	7.8026	8.0848	8.5294	9.2853	8.8426	8.5971	8.2836	8.2086	8.4641	8.9990	7.6655	8.5573
FANCI	55215	8.8435	8.5077	8.5902	7.9717	7.8527	8.1942	8.0269	7.3011	8.4681	8.7828	8.2671	8.0753	9.8993	8.9468	8.5741	8.3010	8.2055	7.4423	7.7577	8.5855	8.1615	8.0854	7.7287	8.1461	8.2728	8.6286	8.5060	8.3489	7.7326	8.2555	7.8237	8.4299	8.7412	8.0570	8.0730	7.6822	9.0740	8.1699	7.7280	8.6888	8.1527	8.0282	8.4698	8.7101	7.8752	8.3267	8.0058	7.1419	9.0432	8.4412	9.2192	8.2946	8.7682	7.7856	8.5810	8.1883	8.4383	7.4063	8.3773	8.7316	7.9873	9.1435	8.5227	7.7093	8.5234	8.5127	7.4248	7.4692	8.4336	8.1983	8.6509	8.1254	7.9183	7.7719	8.8829	8.3382	8.8223	8.7455	8.1467
PPP4C	5531	10.7499	10.5670	10.6312	10.8925	10.0914	10.2668	10.6909	10.3837	10.7756	10.7903	10.5285	10.1137	10.8657	11.1376	10.9046	10.2609	10.7582	10.0848	10.2562	10.2228	10.5147	11.1079	10.6138	10.5622	10.5594	10.5536	10.4778	10.5831	10.6715	10.5255	10.0848	10.6707	10.4868	10.9300	10.0715	10.1241	10.8956	10.6129	10.0014	11.2952	10.4898	10.3476	10.0808	10.5028	10.0307	10.8114	10.5068	11.0498	11.1079	10.6147	10.9285	10.5450	10.0941	10.3072	10.5147	10.3729	10.5897	9.7698	10.2597	11.1917	10.8234	10.4294	10.9894	10.3509	10.9121	10.4200	10.6856	9.9144	10.9787	10.7245	10.6211	10.3761	10.4645	10.3049	10.5488	10.4346	10.6874	11.2923	10.8626
NSMCE3	56160	8.9658	8.8673	9.6294	8.8486	8.8138	8.4305	8.5661	8.7715	8.5999	9.1319	8.1799	8.7748	9.0196	9.0928	9.2264	8.8234	8.5584	8.0661	9.4073	8.8074	8.4878	8.9887	9.3487	9.0196	8.7279	9.1421	8.7245	8.3966	8.0334	8.9425	8.7649	8.7846	8.4429	8.7814	8.0444	8.9039	8.8765	8.9039	8.2336	9.1111	9.1849	8.3707	8.4594	8.5196	8.0980	8.5584	8.3083	9.3619	9.2854	8.5353	9.0224	8.6689	8.5812	8.7211	8.4179	8.3707	8.5392	8.0224	8.1344	8.9744	8.9218	7.8202	9.0980	8.3837	8.3264	8.1548	8.9715	8.3264	8.9307	9.1189	8.5507	8.7211	8.5038	8.0056	8.3174	8.5887	8.6970	8.9972	8.5507
WDR48	57599	11.3253	10.8313	11.5474	10.0320	10.7674	10.5196	10.8933	10.0265	11.0217	11.0861	10.7398	10.7482	11.3106	11.4331	11.3977	10.8033	10.5421	10.2384	10.9542	10.8595	10.7065	10.6330	11.0519	10.7607	10.8834	10.8556	10.6393	10.6944	10.4367	11.1312	10.5555	10.9979	10.7616	10.3934	10.2143	10.5479	11.0620	10.6008	10.5632	10.9520	11.3581	10.4409	10.5440	10.6411	10.5793	10.5651	10.8533	9.7616	11.0888	10.3772	10.8218	10.3826	10.7952	10.7091	10.7091	10.0674	11.1059	9.9730	10.2538	10.6528	10.3966	10.0861	11.2161	10.2240	10.1849	10.1997	10.2021	9.9144	10.4419	10.5421	11.0505	10.7707	10.1724	9.5925	10.3794	10.8834	10.5736	10.3630	10.4252
FANCM	57697	8.5430	8.3129	8.9248	7.4594	7.8642	7.8642	8.0279	7.2946	8.1189	8.4798	7.8009	7.7748	8.7616	8.7381	8.3219	8.1699	7.4676	6.8074	7.5392	7.9248	7.4263	7.6439	6.9542	8.0715	7.9887	8.1033	7.5850	7.3663	7.0875	8.2192	7.2574	8.2854	7.8642	7.3399	7.2946	7.8765	7.8455	8.1699	7.4919	7.7748	8.2574	7.5157	8.0056	7.6511	7.6439	7.4179	7.5622	6.8074	8.1649	7.9542	8.3264	7.3576	7.9600	8.0334	8.0056	7.3487	7.4838	7.0224	6.8074	7.2574	6.8704	7.1497	7.7482	7.0334	7.2668	7.1699	6.8948	6.6294	7.3663	7.6511	8.2046	8.0444	6.6865	7.0224	7.3309	7.5622	7.6653	7.4998	7.7415
PPP4R4	57718	6.9658	7.3309	7.0768	7.2946	5.8329	3.1699	5.3219	7.4346	5.9307	4.9542	6.5546	4.5850	3.8074	6.8074	4.3219	5.4263	1.5850	7.9944	3.7004	7.5925	4.4594	7.3309	6.2668	4.2479	5.6439	5.4263	6.8704	3.5850	2.3219	5.2095	3.8074	3.9069	5.2854	3.0000	3.1699	4.3219	5.0444	2.8074	2.8074	4.3923	3.5850	4.8580	5.4919	3.9069	3.7004	5.0875	2.5850	7.0553	4.9542	6.1699	5.0444	6.2854	2.5850	2.5850	2.8074	3.5850	3.4594	4.5850	3.9069	4.9542	2.5850	4.3923	5.0000	3.3219	3.0000	2.5850	3.4594	1.0000	0.0000	1.5850	3.4594	5.1699	1.5850	3.9069	3.7004	2.0000	4.4594	1.0000	2.3219
BARD1	580	8.3619	8.6865	9.0768	7.3750	8.0661	8.2808	8.0553	8.3487	8.4094	8.0980	8.2621	8.8074	9.4325	9.2621	8.7879	8.0553	7.8580	7.5622	8.7814	8.9484	8.4429	8.5196	8.9009	8.8765	8.4051	8.3038	7.8704	7.7879	7.3309	8.3750	7.2095	8.5887	8.3923	7.9189	7.5392	8.0607	8.6618	8.1189	7.8138	8.2336	8.8948	7.7748	8.1189	8.1241	6.7549	7.4179	8.1997	7.2946	7.5699	7.9009	8.2432	6.7814	7.9248	8.2479	8.3129	6.8455	8.4959	7.0112	7.9944	7.6073	7.9830	7.7074	10.3083	7.1293	7.4263	7.5699	7.2192	7.9009	7.0875	7.0000	8.2240	7.3487	6.7682	7.2288	6.5999	7.0875	8.9307	6.8202	7.6366
RAD51	5888	5.0875	4.2479	5.1699	5.1699	3.0000	5.4594	3.9069	3.5850	5.2479	5.4594	3.1699	3.4594	7.0000	4.8074	5.1699	5.2854	4.6439	4.0000	4.2479	4.3923	4.5236	4.7004	4.5850	4.7549	4.8580	4.3219	5.7279	4.8074	4.0875	4.5236	3.8074	4.8074	4.0875	4.7549	4.2479	4.3219	5.1699	5.1699	4.5850	5.1293	4.5236	4.1699	3.9069	5.6147	3.9069	4.5850	4.3219	3.5850	5.0000	4.4594	4.9542	4.3219	5.9773	4.3923	5.4263	4.8074	4.1699	3.9069	4.1699	4.3923	3.4594	6.5850	3.7004	4.0875	4.8580	3.9069	5.4263	4.0875	5.0444	4.3923	4.0875	4.9069	4.3219	5.0444	4.8074	4.7004	4.0000	4.7549	4.7549
RAD51C	5889	8.7074	8.4717	8.9039	8.3219	8.3619	8.3443	8.6366	8.1447	8.5118	8.6402	7.8138	7.9600	8.6147	8.8170	8.9218	8.5236	7.8948	7.2288	8.6036	8.1948	7.9366	8.1898	8.5850	8.2715	8.3443	8.6366	8.2288	8.1799	7.8455	8.5196	8.2761	8.3750	8.0768	7.5850	8.1497	8.7177	8.1699	8.3663	7.7944	8.4094	8.6511	7.5774	7.5925	7.8392	7.9715	8.2336	8.2479	8.8010	8.3399	8.2143	8.5314	8.2143	8.2854	8.5507	8.4263	8.1898	7.8138	7.2288	7.7004	8.7682	8.4221	7.8642	8.2479	7.5699	7.8265	8.1344	8.6970	7.8517	8.4919	8.5622	8.1085	8.5078	8.1447	8.0928	7.7814	7.6653	7.7142	7.7944	8.5118
RAD51B	5890	8.9425	8.8857	10.0954	7.8642	8.7039	8.2621	7.9658	7.6865	8.2046	9.3509	8.4179	7.4919	8.6830	8.1948	9.1674	8.9915	7.6221	6.6147	8.3750	8.4676	8.0661	7.7074	8.5392	10.2923	7.8138	7.5236	7.4346	7.6439	7.0112	8.2574	7.0334	7.7682	7.1799	6.9307	6.7944	8.8106	8.2900	7.5546	7.8455	8.0168	8.3966	7.7879	7.1599	7.2854	8.0553	6.9307	7.9944	9.1059	6.6294	6.6865	6.2288	6.3750	8.6073	6.9189	7.7211	7.1396	8.2288	7.0661	6.9542	7.1599	7.2384	6.3219	7.2854	7.3129	6.3219	7.5469	6.3399	6.2479	6.5546	6.2668	7.2479	6.6294	7.1497	5.9069	5.9307	6.6865	7.2384	5.7004	6.9887
RAD51D	5892	9.4552	9.0980	9.7296	8.7210	8.7074	9.2143	9.3434	8.2242	9.3791	9.7004	9.0056	8.5353	9.4115	9.6883	9.7928	8.8361	8.9801	8.6439	9.2738	8.5699	8.9039	8.9014	9.0411	8.9579	9.3487	9.2336	8.9129	9.0498	8.7241	9.3038	8.6935	9.3570	8.9773	8.3367	8.6618	8.9147	9.2784	9.0498	9.0028	9.4230	9.5625	8.8143	8.7074	8.6695	8.9944	9.0875	9.0687	8.6366	9.3219	9.0389	9.1137	8.6724	9.0658	9.1749	9.1370	8.8329	9.0498	8.5661	8.7195	9.3061	8.9787	8.8826	9.3663	8.6110	8.8223	8.8948	9.0084	8.5038	8.9944	8.8265	9.3608	8.7347	8.9454	8.3413	8.5584	8.4048	8.9396	8.6184	8.9858
RAD52	5893	9.3724	9.9145	9.7821	7.6795	9.5511	9.1349	9.3927	8.5546	10.0691	9.0830	8.8861	8.1849	9.3573	9.1923	10.0611	8.9404	8.4925	8.1951	10.2155	8.9887	9.1898	7.9605	9.5177	8.7624	8.8649	9.2859	9.2192	9.4657	8.7430	9.2719	9.1677	9.2587	7.8009	7.7578	8.2479	9.3051	8.3511	8.5812	8.5850	8.4527	9.7004	8.0112	7.0362	8.2900	9.0140	8.8486	8.0845	8.7245	8.5915	8.0661	9.1849	8.9200	9.0661	8.8900	9.5885	8.0272	8.9957	7.8318	8.4016	8.7074	8.7482	7.3851	9.0644	8.2527	8.2946	8.9346	8.8546	8.2929	8.2747	8.8170	7.9483	8.6077	9.6275	7.8887	7.9662	8.0877	8.6631	8.0293	8.6618
RECQL	5965	10.3846	9.4851	10.1067	9.7241	9.5204	9.2606	9.5644	9.9728	10.0097	9.5806	9.6528	10.2113	10.2670	10.6764	9.9763	10.1580	9.9731	9.3539	9.5664	10.3079	9.4893	10.5847	9.7289	9.7310	9.8974	10.2925	10.4903	9.5476	9.2386	10.2803	10.0081	10.4322	10.2449	10.2943	9.7908	9.2456	9.9942	10.5570	9.4855	10.1697	10.5743	9.5742	10.0324	10.1036	9.4141	9.7034	9.8288	9.3448	10.4614	10.2886	10.3471	10.1869	10.2153	11.0535	10.2678	10.0620	10.1788	9.0882	9.2826	10.4146	9.9934	9.2575	10.2105	9.5169	9.7819	10.2842	9.8876	9.5304	10.6494	10.7888	10.7547	10.5143	10.0987	9.7232	10.3132	10.4021	10.2806	10.5937	10.5211
RPA1	6117	11.6375	10.8978	11.6284	10.9084	10.6303	11.0126	11.2603	10.3912	11.0042	11.6353	10.9447	10.5953	11.5675	11.7330	11.7125	10.8757	11.1079	10.3998	10.9564	11.0091	10.6680	11.0654	10.8510	11.1687	11.1137	10.9816	11.0815	11.2052	10.9600	11.4798	10.4919	11.2940	11.0519	10.8742	10.9418	10.8796	11.6384	11.0694	10.6952	11.6636	11.7867	10.8463	10.9174	10.8400	10.8305	11.3276	11.3848	10.8210	11.6046	11.3072	11.4476	10.6795	11.1706	11.1605	11.1228	11.3316	11.5182	10.5314	10.6917	11.6551	10.8502	10.5430	11.6742	10.5421	10.9106	10.8242	10.9780	10.1124	11.3783	11.1966	11.4105	11.3565	10.8025	10.6909	11.0300	10.9513	11.1228	11.1170	11.0821
RPA2	6118	10.5736	10.3977	10.7960	10.0875	9.9527	10.2467	10.1472	9.8564	10.3004	10.4147	10.0084	9.4491	10.0430	10.4998	10.8130	10.0566	10.3083	9.4388	10.8329	10.0835	9.6777	10.3531	10.2609	9.9571	10.1293	10.1699	10.3421	9.9958	9.5527	10.4512	9.8595	10.8074	10.3399	9.6511	9.7160	10.2143	10.0430	10.1434	9.8918	11.0147	10.5304	9.7108	9.4263	9.5372	10.1046	10.1972	10.1561	10.6537	10.2550	10.1536	10.6874	9.9773	10.1020	9.9672	10.2515	9.8657	10.0320	9.4939	9.9381	11.0369	9.8439	9.0417	10.3072	9.3106	10.0914	9.9293	10.2300	9.3772	9.9758	10.1241	10.2021	10.7013	9.7515	9.9322	9.6917	9.5981	9.5603	10.0701	9.9571
RPA3	6119	8.6110	8.4009	8.6724	8.8908	8.1189	7.9887	8.3482	8.0498	8.3309	8.6330	7.7935	7.3750	8.7313	8.6970	8.7177	8.2336	7.8329	7.5469	8.7415	8.1447	7.5622	8.2046	8.1799	7.8765	8.1033	8.4919	8.3707	7.6865	7.7347	8.2479	7.9542	8.3083	7.9484	7.5078	7.4676	8.0389	8.1137	8.1599	7.4009	8.4959	8.7814	7.7549	7.4179	8.0279	7.4346	8.1599	8.0224	8.9218	8.3880	8.1033	8.4512	8.1396	8.3794	7.8817	8.3443	8.0112	7.7415	7.0444	7.9425	8.2384	8.1548	7.7142	7.9366	7.2574	7.7944	7.9425	8.5699	7.1898	8.3880	8.4388	8.0980	8.4594	8.0715	8.0389	7.9600	8.3923	7.8392	8.1137	8.1497
